		Centro	OrdCliente	Planj.MRP	Ordem	Material	Texto breve material	InícProgr.	Fim prog.	FimProgOri	 Qtd.teór.	Qtd.forn.	Qtd. Pend.	Texto da ordem	Mot Atraso	Descrição	Conc Ordem
		1109		020	1132821461	15949802	EIXO RSF MAC M07 4 DENTES	15.01.2025	04.02.2025	04.02.2025	        1	       0	        1	OP ENTREGUE NO CORTE 13/01 AS 14:30 POR MARCELO	0101	Manutenção  - ATRASO	28.02.2025
		1109		020	1132821471	15919598	EIXO RSF MAC 1 DENTE	15.01.2025	04.02.2025	04.02.2025	        5	       0	        5	OP ENTREGUE NO CORTE 13/01 AS 14:30 POR MARCELO	0101	Manutenção  - ATRASO	28.02.2025
		1109		020	1132835165	15919546	EIXO RSF VAZ/MAC 1 DENTE	16.01.2025	04.02.2025	04.02.2025	        2	       0	        2	op entregue no corte 14/01 as 14:30 por marcelo	0167	Usinagem Pinhão - ATRASO	28.02.2025
		1109		020	1132835569	15959779	PINHAO HP22 1,5 025 USIN	31.01.2025	04.02.2025	06.02.2025	        5	       0	        5	oP ENTREGUE NO CORTE 15/01 AS 13:302 POR MARCELO	0167	Usinagem Pinhão - ATRASO	25.02.2025
		1109		010	1132836478	15931916	EIXO ENTRADA	17.01.2025	04.02.2025	04.02.2025	       10	       0	       10	oP ENTREGUE NO CORTE 15/01 AS 13:302 POR MARCELO	0101	Manutenção  - ATRASO	28.02.2025
		1109		031	1132847166	14030477	CARCACA WCG20 V03 B35 BASE	31.01.2025	04.02.2025	04.02.2025	      150	       0	      150	OP postergada devido ao lead time do material bruto (sharepoint) - Paola F. 15.01	0101	Manutenção  - ATRASO	21.02.2025
		1109		010	1132847169	15914728	EIXO ENTRADA	03.02.2025	04.02.2025	05.02.2025	       15	       0	       15	OP ENTREGUE NO CORTE 16/01 AS 09:00 POR MARCELO	0101	Manutenção  - ATRASO	28.02.2025
		1109		040	1132861111	15911239	FLANGE SAID IEC 550X92 USIN	30.01.2025	04.02.2025	04.02.2025	        4	       0	        4	OP alterada de 5 para 4 peças. Solicitado por Cristiano Baseggio - Paola F. 16.01	0013	Usinagem de fundidos - ATRASO	28.02.2025
		1109		040	1132994896	15987368	FLANGE ENTR IEC 140X51 USIN	31.01.2025	04.02.2025	04.02.2025	       45	       0	       45		0013	Usinagem de fundidos - ATRASO	28.02.2025
		1109		080	1132996782	15996496	MANCAL AXIAL GH90 USIN	31.01.2025	04.02.2025	03.02.2025	        6	       0	        6	Alterado CT 364 para 234 - Maira 29.01	0013	Usinagem de fundidos - ATRASO	28.02.2025
		1109		060	1133007220	16255492	ADAP RETO MA BSPP1/4" X FEM BSPP1/4"	03.02.2025	04.02.2025	04.02.2025	       32	       0	       32	OP ENTREGUE NO CORTE 31/01 AS 13:40 POR MARCELO	0101	Manutenção  - ATRASO	03.03.2025
		1109		010	1133007235	15971620	EIXO SAIDA WCG20 W-LOCK V04, N04 35X150	03.02.2025	04.02.2025	04.02.2025	       12	      10	        2	Impresso em folha amarela. OP ENTREGUE NO CORTE 31/01 AS 13:40 POR MARCELO	0101	Manutenção  - ATRASO	03.03.2025
	*								04.02.2025		      368	      10	      358
		1109		100	1132445701	15990765	ENGR 273 5 Z091 150	17.12.2024	05.02.2025	06.02.2025	       10	       0	       10	OP postergada devido ao lead time do material bruto (sharepoint) - Paola F. 22.11	0157	Usinagem engrenagens - ATRASO	21.02.2025
		1109		010	1132690301	15936323	EIXO ENTRADA MOTOWCES C, V , N, G	20.01.2025	05.02.2025	05.02.2025	        1	       0	        1	OP ENTREGUE NO CORTE 16/01 AS 09:00 POR MARCELO	0012	Usinagem de Eixos - ATRASO	07.03.2025
